BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
RTSI;MCFTR;24.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;332,3;332,3;332,3;332,3;0;;;2;0;;;3;;24.03.2003;
RTSI;MCFTR;25.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;333,57;333,57;333,57;333,57;0;;;2;0;;;3;;25.03.2003;
RTSI;MCFTR;26.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;333,3;333,3;333,3;333,3;0;;;2;0;;;3;;26.03.2003;
RTSI;MCFTR;27.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;332,7;332,7;332,7;332,7;0;;;2;0;;;3;;27.03.2003;
RTSI;MCFTR;28.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;332,88;332,88;332,88;332,88;0;;;2;0;;;3;;28.03.2003;
RTSI;MCFTR;31.03.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;325,56;325,56;325,56;325,56;0;;;2;0;;;3;;31.03.2003;
RTSI;MCFTR;01.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;327,44;327,44;327,44;327,44;0;;;2;0;;;3;;01.04.2003;
RTSI;MCFTR;02.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;331,02;331,02;331,02;331,02;0;;;2;0;;;3;;02.04.2003;
RTSI;MCFTR;03.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;326,94;326,94;326,94;326,94;0;;;2;0;;;3;;03.04.2003;
RTSI;MCFTR;04.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;330,53;330,53;330,53;330,53;0;;;2;0;;;3;;04.04.2003;
RTSI;MCFTR;07.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;336,3;336,3;336,3;336,3;0;;;2;0;;;3;;07.04.2003;
RTSI;MCFTR;08.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;337,48;337,48;337,48;337,48;0;;;2;0;;;3;;08.04.2003;
RTSI;MCFTR;09.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;336,53;336,53;336,53;336,53;0;;;2;0;;;3;;09.04.2003;
RTSI;MCFTR;10.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;336,76;336,76;336,76;336,76;0;;;2;0;;;3;;10.04.2003;
RTSI;MCFTR;11.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;338,21;338,21;338,21;338,21;0;;;2;0;;;3;;11.04.2003;
RTSI;MCFTR;14.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;341,99;341,99;341,99;341,99;0;;;2;0;;;3;;14.04.2003;
RTSI;MCFTR;15.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;345,97;345,97;345,97;345,97;0;;;2;0;;;3;;15.04.2003;
RTSI;MCFTR;16.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;344,63;344,63;344,63;344,63;0;;;2;0;;;3;;16.04.2003;
RTSI;MCFTR;17.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;348,61;348,61;348,61;348,61;0;;;2;0;;;3;;17.04.2003;
RTSI;MCFTR;18.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;356,81;356,81;356,81;356,81;0;;;2;0;;;3;;18.04.2003;
RTSI;MCFTR;21.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;363,89;363,89;363,89;363,89;0;;;2;0;;;3;;21.04.2003;
RTSI;MCFTR;22.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;364,89;364,89;364,89;364,89;0;;;2;0;;;3;;22.04.2003;
RTSI;MCFTR;23.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;373,05;373,05;373,05;373,05;0;;;2;0;;;3;;23.04.2003;
RTSI;MCFTR;24.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;366,21;366,21;366,21;366,21;0;;;2;0;;;3;;24.04.2003;
RTSI;MCFTR;25.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;371,96;371,96;371,96;371,96;0;;;2;0;;;3;;25.04.2003;
RTSI;MCFTR;28.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;382,74;382,74;382,74;382,74;0;;;2;0;;;3;;28.04.2003;
RTSI;MCFTR;29.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;376,26;376,26;376,26;376,26;0;;;2;0;;;3;;29.04.2003;
RTSI;MCFTR;30.04.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;369,77;369,77;369,77;369,77;0;;;2;0;;;3;;30.04.2003;
RTSI;MCFTR;05.05.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;380,22;380,22;380,22;380,22;0;;;2;0;;;3;;05.05.2003;
RTSI;MCFTR;06.05.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;379,88;379,88;379,88;379,88;0;;;2;0;;;3;;06.05.2003;
RTSI;MCFTR;07.05.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;375,86;375,86;375,86;375,86;0;;;2;0;;;3;;07.05.2003;
RTSI;MCFTR;08.05.2003;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;374,79;374,79;374,79;374,79;0;;;2;0;;;3;;08.05.2003;
